,Downlink Throughput resAllocLink0,Downlink Throughput resAllocLink1,Downlink Throughput hostFDO0,Downlink Throughput hostFDO1,Downlink Throughput hostFDO2,Downlink Throughput hostFDO3,Downlink Throughput hostFDO4,Downlink Throughput hostFDO5,Downlink Throughput hostFDO6,Downlink Throughput hostFDO7,Downlink Throughput hostFDO8,Downlink Throughput hostFDO9,Downlink Throughput hostFDO10,Downlink Throughput hostFDO11,Downlink Throughput hostFDO12,Downlink Throughput hostFDO13,Downlink Throughput hostFDO14,Downlink Throughput hostFDO15,Downlink Throughput hostFDO16,Downlink Throughput hostFDO17,Downlink Throughput hostFDO18,Downlink Throughput hostFDO19,Downlink Throughput hostFDO20,Downlink Throughput hostFDO21,Downlink Throughput hostFDO22,Downlink Throughput hostFDO23,Downlink Throughput hostFDO24,Downlink Throughput hostFDO25,Downlink Throughput hostFDO26,Downlink Throughput hostFDO27,Downlink Throughput hostFDO28,Downlink Throughput hostFDO29,Downlink Throughput hostFDO30,Downlink Throughput hostFDO31,Downlink Throughput hostFDO32,Downlink Throughput hostFDO33,Downlink Throughput hostFDO34,Downlink Throughput hostFDO35,Downlink Throughput hostFDO36,Downlink Throughput hostFDO37,Downlink Throughput hostFDO38,Downlink Throughput hostFDO39,Downlink Throughput hostFDO40,Downlink Throughput hostFDO41,Downlink Throughput hostFDO42,Downlink Throughput hostFDO43
0,999.89296,0.7144,22.7848,22.7848,22.66488,22.7848,22.54496,22.54496,22.54496,22.54496,22.66488,22.66488,22.54496,22.66488,22.66488,22.66488,22.66488,22.66488,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.66488,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.66488,22.7848,22.66488,22.7848,22.7848,22.7848,22.7848,22.7848
0,1000.01288,0.70688,22.54496,22.54496,22.66488,22.54496,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.66488,22.7848,22.7848,22.7848,22.7848,22.7848,22.66488,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.66488,22.7848,22.7848,22.7848,22.7848,22.66488,22.7848,22.7848,22.66488,22.66488,22.7848,22.54496,22.54496,22.66488,22.54496,22.66488
0,1000.01288,0.7144,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.90472,22.7848,22.7848,22.7848,22.66488,22.7848,22.66488,22.7848,22.7848,22.7848,22.66488,22.66488,22.54496,22.66488,22.66488,22.54496,22.66488,22.66488,22.66488,22.66488,22.66488,22.54496,22.66488,22.66488,22.54496,22.66488,22.7848,22.66488,22.7848,22.7848,22.90472,22.7848,22.7848,22.7848
0,1000.01288,0.7144,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.66488,22.54496,22.66488,22.66488,22.54496,22.54496,22.66488,22.66488,22.66488,22.66488,22.54496,22.66488,22.66488,22.7848,22.7848,22.7848,22.66488,22.7848,22.7848,22.7848,22.7848,22.7848,22.66488,22.7848,22.66488,22.7848,22.7848,22.66488,22.90472,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.66488
0,1000.01288,0.71064,22.66488,22.66488,22.66488,22.66488,22.66488,22.66488,22.66488,22.66488,22.7848,22.7848,22.7848,22.66488,22.7848,22.7848,22.7848,22.7848,22.7848,22.66488,22.7848,22.66488,22.7848,22.90472,22.7848,22.66488,22.7848,22.7848,22.66488,22.66488,22.7848,22.66488,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.66488,22.7848,22.66488,22.7848,22.66488,22.54496,22.66488,22.66488
0,1000.01288,0.7144,22.7848,22.66488,22.66488,22.7848,22.66488,22.66488,22.66488,22.66488,22.66488,22.7848,22.66488,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.66488,22.66488,22.66488,22.66488,22.66488,22.66488,22.66488,22.66488,22.66488,22.66488,22.66488,22.66488,22.7848,22.7848,22.66488,22.7848
0,1000.01288,0.71064,22.66488,22.7848,22.7848,22.66488,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.66488,22.54496,22.66488,22.66488,22.66488,22.66488,22.66488,22.54496,22.7848,22.66488,22.66488,22.66488,22.66488,22.66488,22.66488,22.7848,22.7848,22.7848,22.7848,22.66488,22.7848,22.7848,22.7848,22.7848,22.7848,22.66488,22.66488,22.7848,22.7848,22.7848
0,1000.01288,0.7144,22.7848,22.7848,22.66488,22.66488,22.66488,22.66488,22.66488,22.66488,22.66488,22.66488,22.66488,22.66488,22.54496,22.66488,22.66488,22.7848,22.66488,22.7848,22.66488,22.7848,22.66488,22.7848,22.66488,22.90472,22.7848,22.66488,22.7848,22.7848,22.7848,22.7848,22.7848,22.66488,22.7848,22.7848,22.7848,22.7848,22.7848,22.66488,22.7848,22.7848,22.7848,22.7848,22.7848,22.66488
0,1000.01288,0.71064,22.66488,22.66488,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.66488,22.7848,22.7848,22.7848,22.66488,22.7848,22.7848,22.7848,22.7848,22.7848,22.66488,22.7848,22.7848,22.7848,22.66488,22.66488,22.7848,22.7848,22.7848,22.7848,22.7848,22.66488,22.7848,22.66488,22.7848,22.54496,22.54496,22.66488,22.66488,22.66488,22.66488,22.66488,22.54496,22.66488,22.66488
0,999.89296,0.7144,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.66488,22.66488,22.7848,22.7848,22.66488,22.7848,22.7848,22.7848,22.7848,22.7848,22.66488,22.7848,22.7848,22.7848,22.7848,22.66488,22.66488,22.66488,22.66488,22.54496,22.54496,22.66488,22.54496,22.66488,22.66488,22.66488,22.66488,22.7848,22.7848,22.66488,22.7848,22.66488,22.7848,22.7848,22.7848,22.7848,22.7848
